Année,situation,Genre,Domaine,Taux d’insertion,Part des emplois de niveau cadre,Part des emplois stables,Part des emplois à temps plein,Salaire brut annuel estimé,Part des diplômés boursiers dans la discipline,Taux de chômage national
2014,30 mois après le diplôme,femmes,"Droit, économie et gestion",87.0,44.0,59.0,100.0,29569.70041714069,48.0,9.3
2016,18 mois après le diplôme,hommes,"Droit, économie et gestion",84.0,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,35.0,8.5
2012,30 mois après le diplôme,hommes,"Droit, économie et gestion",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,10.1
2012,30 mois après le diplôme,femmes,"Droit, économie et gestion",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,10.1
2012,18 mois après le diplôme,hommes,"Droit, économie et gestion",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,10.1
2018,18 mois après le diplôme,femmes,"Droit, économie et gestion",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,7.8
2019,30 mois après le diplôme,femmes et hommes,"Droit, économie et gestion",89.0,61.0,81.0,97.0,33600.0,44.0,7.2
2019,30 mois après le diplôme,hommes,"Droit, économie et gestion",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,7.2
2016,30 mois après le diplôme,femmes,"Droit, économie et gestion",90.0,41.0,75.0,99.0,31200.0,46.0,8.5
2017,30 mois après le diplôme,femmes,"Droit, économie et gestion",90.0,57.0,75.0,98.0,32800.0,49.0,7.8
2017,18 mois après le diplôme,femmes,"Droit, économie et gestion",96.0,52.0,74.0,98.0,31200.0,25.0,7.8
2017,18 mois après le diplôme,femmes et hommes,"Droit, économie et gestion",96.0,58.0,79.0,98.0,32500.0,24.0,7.8
2013,30 mois après le diplôme,hommes,"Droit, économie et gestion",92.0,66.0,88.0,99.0,36400.0,20.0,9.9
2013,30 mois après le diplôme,femmes et hommes,"Droit, économie et gestion",93.0,63.0,87.0,99.0,35000.0,19.0,9.9
2018,18 mois après le diplôme,femmes et hommes,"Droit, économie et gestion",93.0,55.0,77.0,97.0,33700.0,38.0,7.8
2018,18 mois après le diplôme,femmes,"Droit, économie et gestion",94.0,51.0,76.0,98.0,31200.0,39.0,7.8
2019,18 mois après le diplôme,hommes,"Droit, économie et gestion",81.0,62.0,67.0,100.0,33100.0,32.0,7.2
2020,18 mois après le diplôme,femmes,"Droit, économie et gestion",88.0,46.0,58.0,96.0,33800.0,34.0,6.9
2016,30 mois après le diplôme,femmes et hommes,"Droit, économie et gestion",96.0,62.0,88.0,99.0,35300.0,23.0,8.5
2011,30 mois après le diplôme,femmes et hommes,"Droit, économie et gestion",89.0,53.0,85.0,96.0,31300.0,29.0,9.7
2017,30 mois après le diplôme,femmes,"Droit, économie et gestion",97.0,63.0,87.0,99.0,33600.0,25.0,7.8
2016,30 mois après le diplôme,hommes,"Droit, économie et gestion",96.0,69.0,86.0,98.0,38200.0,23.0,8.5
2012,18 mois après le diplôme,femmes,"Droit, économie et gestion",84.0,62.268107698141826,61.0,95.0,25700.0,32.80387685290764,10.1
